method_name,implementation,model_pair,rtt_ms,target_verify_mode,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,method_time,target_only_time,speedup_vs_target_only,accept_rate,rounds,generated_tokens,accepted_tokens,drafted_tokens,wasted_branch_time_or_tokens,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,prefill_time,draft_generate_time,draft_structure_time,cloud_verify_time,posterior_accept_time,cache_update_time,sampling_time,target_verify_time,drafted_tokens_per_round,accepted_tokens_per_round
target-only,kv-cache,smollm-local,50.0,sequential,4,0.0,10.0,4,4,10.0,0.8975890961786112,0.8975890961786112,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03116895016282793,0.0,0.0,0.856148817576468,0.0,0.003964816220104647,0.004099535569548547,0.856148817576468,0.0,0.0
target-only,kv-cache,smollm-local,100.0,sequential,4,0.0,10.0,4,4,10.0,0.8975890961786112,0.8975890961786112,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03116895016282793,0.0,0.0,0.856148817576468,0.0,0.003964816220104647,0.004099535569548547,0.856148817576468,0.0,0.0
target-only,kv-cache,smollm-local,150.0,sequential,4,0.0,10.0,4,4,10.0,0.8975890961786112,0.8975890961786112,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03116895016282793,0.0,0.0,0.856148817576468,0.0,0.003964816220104647,0.004099535569548547,0.856148817576468,0.0,0.0
target-only,kv-cache,smollm-local,200.0,sequential,4,0.0,10.0,4,4,10.0,0.8975890961786112,0.8975890961786112,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03116895016282793,0.0,0.0,0.856148817576468,0.0,0.003964816220104647,0.004099535569548547,0.856148817576468,0.0,0.0
vanilla-spec,kv-cache,smollm-local,0.0,sequential,4,0.0,10.0,4,4,10.0,3.235548409074545,0.8975890961786112,0.2806785508645893,0.4986325462036814,11.7,32.0,21.3,44.2,0.0,0.0002163199999999,0.0,0.00014143999999996,176.8,0.00014143999999996,0.0,7.488e-05,93.6,0.05417880987127618,0.8023391110201676,0.0,1.192975003334383,8.905927340188543e-05,1.1590873996416728,0.012644366795817966,1.192975003334383,3.777777777777778,1.8205128205128207
vanilla-spec,kv-cache,smollm-local,5.0,sequential,4,0.0,10.0,4,4,10.0,3.3131485202039284,0.8975890961786112,0.2735451654416193,0.4986325462036814,11.7,32.0,21.3,44.2,0.0,0.05871631999999997,0.0585,0.00014143999999996,176.8,0.00014143999999996,0.0585,7.488e-05,93.6,0.05412052863587932,0.7960855708147089,0.0,1.2001984981199105,9.221502890188793e-05,1.1748117623850702,0.013359938872357159,1.2001984981199105,3.777777777777778,1.8205128205128207
vanilla-spec,kv-cache,smollm-local,10.0,sequential,4,0.0,10.0,4,4,10.0,3.3993950907761854,0.8975890961786112,0.2667569400189034,0.4986325462036814,11.7,32.0,21.3,44.2,0.0,0.1172163199999999,0.117,0.00014143999999996,176.8,0.00014143999999996,0.117,7.488e-05,93.6,0.053588635164002536,0.792856652289629,0.0,1.209002530326446,0.00011053954561548088,1.1963968443994721,0.01340298242866988,1.209002530326446,3.777777777777778,1.8205128205128207
vanilla-spec,kv-cache,smollm-local,20.0,sequential,4,0.0,10.0,4,4,10.0,3.5846154015511273,0.8975890961786112,0.25314095218535543,0.4986325462036814,11.7,32.0,21.3,44.2,0.0,0.2342163199999999,0.234,0.00014143999999996,176.8,0.00014143999999996,0.234,7.488e-05,93.6,0.05324360808978475,0.7982061932484309,0.0,1.242020377020041,0.00020023901015515333,1.224565398072203,0.014365531193713293,1.242020377020041,3.777777777777778,1.8205128205128207
vanilla-spec,kv-cache,smollm-local,50.0,sequential,4,0.0,10.0,4,4,10.0,3.8746071797485153,0.8975890961786112,0.2343698405274493,0.4986325462036814,11.7,32.0,21.3,44.2,0.0,0.58521632,0.5850000000000002,0.00014143999999996,176.8,0.00014143999999996,0.5850000000000002,7.488e-05,93.6,0.05695493264744675,0.8039463445544243,0.0,1.2036686674381296,0.00011994428932663156,1.1933847278977434,0.013588976860046344,1.2036686674381296,3.777777777777778,1.8205128205128207
vanilla-spec,kv-cache,smollm-local,100.0,sequential,4,0.0,10.0,4,4,10.0,4.484762159983317,0.8975890961786112,0.20292856106195584,0.4986325462036814,11.7,32.0,21.3,44.2,0.0,1.17021632,1.1700000000000006,0.00014143999999996,176.8,0.00014143999999996,1.1700000000000006,7.488e-05,93.6,0.05368810376773273,0.8054876153046886,0.0,1.2084853936607638,0.00013462385783589162,1.215682412746052,0.013132840581238224,1.2084853936607638,3.777777777777778,1.8205128205128207
vanilla-spec,kv-cache,smollm-local,150.0,sequential,4,0.0,10.0,4,4,10.0,5.068846382883688,0.8975890961786112,0.17938180730172884,0.4986325462036814,11.7,32.0,21.3,44.2,0.0,1.7552163199999997,1.7549999999999997,0.00014143999999996,176.8,0.00014143999999996,1.7549999999999997,7.488e-05,93.6,0.057157305007179526,0.8038194582487146,0.0,1.2171076586470009,0.00016105280568198287,1.2035867988442381,0.013032076631983074,1.2171076586470009,3.777777777777778,1.8205128205128207
vanilla-spec,kv-cache,smollm-local,200.0,sequential,4,0.0,10.0,4,4,10.0,5.713289935576419,0.8975890961786112,0.15914152013417743,0.4986325462036814,11.7,32.0,21.3,44.2,0.0,2.34021632,2.3400000000000007,0.00014143999999996,176.8,0.00014143999999996,2.3400000000000007,7.488e-05,93.6,0.055752878139416324,0.8059893311311801,0.0,1.2466442282001178,0.00017798207700247948,1.2314550754924616,0.013999019190669001,1.2466442282001178,3.777777777777778,1.8205128205128207
