method_name,implementation,target_verify_mode,model_pair,target,draft,prompt_id,repeat,rtt_ms,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,max_new_tokens,draft_k,tree_width,generated_tokens,accepted_tokens,drafted_tokens,accept_rate,rounds,target_only_time,method_time,speedup_vs_target_only,matched_target_only,first_diff_index,extra_json,prefill_time,draft_generate_time,draft_structure_time,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,cloud_verify_time,target_verify_time,posterior_accept_time,cache_update_time,sampling_time,wasted_branch_time_or_tokens,total_decode_time
dsd-adaptive-draft,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,150.0,4,0.0,10.0,4,4,10.0,32,4,2,32,14,34,0.4117647058823529,19,0.9435477163642645,5.643104920163751,0.16720364581434805,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2], ""mean_draft_k"": 1.7894736842105263, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.05005575530230999,0.36465416476130486,0.0,2.8502303999999983,2.8500000000000014,0.00010879999999999999,136.0,0.00010879999999999999,2.8500000000000014,0.00012159999999999995,152.0,0.9335997831076384,0.9335997831076384,0.00025297142565250397,1.4122368767857552,0.006004622206091881,0.0,5.643104920163751
target-only,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,200.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9435477163642645,0.9435477163642645,1.0,True,-1,{},0.05797780491411686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802366629242897,0.8802366629242897,0.0,0.0018229354172945023,0.0013131722807884216,0.0,0.9435477163642645
vanilla-spec,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,200.0,4,0.0,10.0,4,4,10.0,32,4,2,32,18,58,0.3103448275862069,15,0.9435477163642645,7.019599227234721,0.13441618044282033,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.06434612721204758,1.0238607712090015,0.0,3.000281599999999,3.0000000000000013,0.00018559999999999996,232.0,0.00018559999999999996,3.0000000000000013,9.599999999999998e-05,120.0,1.6178119629621506,1.6178119629621506,0.00025589577853679657,1.2813624944537878,0.008226681500673294,0.0,7.019599227234721
dsd-adaptive-draft,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,0,200.0,4,0.0,10.0,4,4,10.0,32,4,2,32,14,34,0.4117647058823529,19,0.9435477163642645,6.625247959047556,0.14241696645870272,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2], ""mean_draft_k"": 1.7894736842105263, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.05401906371116638,0.3497295342385769,0.0,3.800230399999998,3.800000000000002,0.00010879999999999999,136.0,0.00010879999999999999,3.800000000000002,0.00012159999999999995,152.0,0.9759608916938305,0.9759608916938305,0.00023657456040382385,1.4118650797754526,0.006870651617646217,0.0,6.625247959047556
target-only,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,1,0.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9075777754187584,0.9075777754187584,1.0,True,-1,{},0.02718072012066841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8751789126545191,0.8751789126545191,0.0,0.0017772875726222992,0.0012770798057317734,0.0,0.9075777754187584
vanilla-spec,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,1,0.0,4,0.0,10.0,4,4,10.0,32,4,2,32,18,58,0.3103448275862069,15,0.9075777754187584,3.835108084604144,0.2366498558573057,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.05017559044063091,1.0281170308589935,0.0,0.00028159999999999985,0.0,0.00018559999999999996,232.0,0.00018559999999999996,0.0,9.599999999999998e-05,120.0,1.533782022073865,1.533782022073865,0.00011630356311798096,1.2011394929140806,0.0056386105716228485,0.0,3.835108084604144
dsd-adaptive-draft,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,1,0.0,4,0.0,10.0,4,4,10.0,32,4,2,32,14,34,0.4117647058823529,19,0.9075777754187584,2.694767104461789,0.336792657857542,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2], ""mean_draft_k"": 1.7894736842105263, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.0498073510825634,0.37436074763536453,0.0,0.00023039999999999983,0.0,0.00010879999999999999,136.0,0.00010879999999999999,0.0,0.00012159999999999995,152.0,0.9170687273144722,0.9170687273144722,0.0001319628208875656,1.330015068873763,0.003946390002965927,0.0,2.694767104461789
target-only,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,1,5.0,4,0.0,10.0,4,4,10.0,32,4,2,32,0,0,0.0,0,0.9075777754187584,0.9075777754187584,1.0,True,-1,{},0.02718072012066841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8751789126545191,0.8751789126545191,0.0,0.0017772875726222992,0.0012770798057317734,0.0,0.9075777754187584
vanilla-spec,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,1,5.0,4,0.0,10.0,4,4,10.0,32,4,2,32,18,58,0.3103448275862069,15,0.9075777754187584,3.9935217928141356,0.2272625072565864,True,-1,"{""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.053115179762244225,1.0399654004722834,0.0,0.07528160000000002,0.07500000000000002,0.00018559999999999996,232.0,0.00018559999999999996,0.07500000000000002,9.599999999999998e-05,120.0,1.5416262969374657,1.5416262969374657,0.00011060014367103577,1.2563790455460548,0.006286058574914932,0.0,3.9935217928141356
dsd-adaptive-draft,kv-cache,sequential,smollm-local,/home/chajiahao/data/hf_models/SmolLM-360M,/home/chajiahao/data/hf_models/SmolLM-135M,0,1,5.0,4,0.0,10.0,4,4,10.0,32,4,2,32,14,34,0.4117647058823529,19,0.9075777754187584,2.80839129909873,0.3231664247464442,True,-1,"{""draft_k_history"": [4, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2], ""mean_draft_k"": 1.7894736842105263, ""target_verify_mode"": ""sequential"", ""state_update_mode"": ""target_only_step""}",0.05419880524277687,0.35045964643359184,0.0,0.09523040000000003,0.09500000000000004,0.00010879999999999999,136.0,0.00010879999999999999,0.09500000000000004,0.00012159999999999995,152.0,0.9274455588310957,0.9274455588310957,0.00014036335051059723,1.354571221396327,0.004875430837273598,0.0,2.80839129909873
