group,model_pair,method_name,implementation,target_verify_mode,temperature,top_k,top_p,sampling_filter,stochastic_seed,seed_strategy,rtt_ms,method_time,target_only_time,speedup_vs_target_only,accept_rate,rounds,generated_tokens,accepted_tokens,drafted_tokens,drafted_tokens_per_round,accepted_tokens_per_round,rejected_tokens,resample_count,bonus_sample_count,mean_checked_accept_prob,mean_first_accept_prob,first_token_accept_rate,target_zero_at_draft_count,target_zero_at_draft_rate
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,8010154,per-repeat,5.0,0.9645480401813984,0.9645480401813984,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,8020161,per-repeat,5.0,0.9449938833713531,0.9449938833713531,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,9000150,per-repeat,5.0,0.9957734402269124,0.9957734402269124,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,9010157,per-repeat,5.0,1.1239293161779642,1.1239293161779642,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,9020164,per-repeat,5.0,1.1003812849521637,1.1003812849521637,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,123,per-repeat,10.0,0.952108547091484,0.952108547091484,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,10130,per-repeat,10.0,0.9761549457907676,0.9761549457907676,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,20137,per-repeat,10.0,0.9313504695892334,0.9313504695892334,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,1000126,per-repeat,10.0,1.25751412846148,1.25751412846148,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,1010133,per-repeat,10.0,0.9571876004338264,0.9571876004338264,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,1020140,per-repeat,10.0,0.9851565752178432,0.9851565752178432,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,2000129,per-repeat,10.0,0.935472384095192,0.935472384095192,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,2010136,per-repeat,10.0,0.9713849276304244,0.9713849276304244,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,2020143,per-repeat,10.0,0.9912082776427268,0.9912082776427268,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,3000132,per-repeat,10.0,0.9327530656009912,0.9327530656009912,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,3010139,per-repeat,10.0,1.3460441455245018,1.3460441455245018,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,3020146,per-repeat,10.0,1.0139182601124048,1.0139182601124048,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,4000135,per-repeat,10.0,0.9563081879168748,0.9563081879168748,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-1.5B,qwen25-1p5b-local,target-only-sampling,kv-cache,batch,1.0,0,0.0,full_distribution,4010142,per-repeat,10.0,0.9544175527989864,0.9544175527989864,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
