method,rtt_ms,method_time,rounds,uplink_transfer_time,network_wait_time,cloud_verify_time,downlink_transfer_time,edge_cloud_cycle_time,network_only_time,cloud_verify_share_of_cycle_percent,uplink_share_of_cycle_percent,wait_share_of_cycle_percent,downlink_share_of_cycle_percent,network_cycle_share_of_method_time_percent,cloud_verify_per_round_ms,network_wait_per_round_ms,upload_payload_bytes,downlink_payload_bytes,speedup_vs_target_only
traditional-spec-sampling / kv-cache,5.0,4.476015668362379,25.0,0.0003007999999999,0.125,0.8090930208563805,0.0001599999999999,0.9345538208563803,0.12546079999999982,86.57532640709408,0.03218648228566026,13.375366641319383,0.01712046930087811,20.879145429763465,32.36372083425522,5.0,376.0,200.0,0.2075656857244563
traditional-spec-sampling / kv-cache,5.0,4.351058911532164,25.0,0.0003007999999999,0.125,0.7933133244514465,0.0001599999999999,0.9187741244514464,0.12546079999999982,86.34476127906778,0.03273927638955793,13.605084935824808,0.01741450871784487,21.11610399060106,31.732532978057865,5.0,376.0,200.0,0.3075889288450188
traditional-spec-sampling / kv-cache,5.0,4.353054715320468,24.0,0.0002879999999999,0.12,0.7722487989813089,0.0001535999999999,0.8926903989813088,0.1204415999999998,86.50802113056874,0.03226202503449689,13.442510431045038,0.017206413351726447,20.507217514163262,32.17703329088787,5.0,360.0,192.0,0.2609591439484633
traditional-spec-sampling / kv-cache,5.0,4.48046394996345,26.0,0.0003231999999999,0.13,0.786321971565485,0.0001663999999999,0.9168115715654848,0.13048959999999982,85.7670208309888,0.035252609153702735,14.179576701679375,0.018149858178138693,20.46242491411997,30.243152752518654,5.0,404.0,208.0,0.2152786075177029
traditional-spec-sampling / kv-cache,5.0,4.326630804687738,24.0,0.0003007999999999,0.12,0.7518089525401592,0.0001535999999999,0.872263352540159,0.12045439999999981,86.1905925946311,0.034484998036880286,13.757313046632348,0.01760936069967794,20.160337036270697,31.325373022506632,5.0,376.0,192.0,0.2184133396238682
traditional-spec-sampling / kv-cache,5.0,4.451975649222732,25.0,0.0003071999999999,0.125,0.7858746405690908,0.0001599999999999,0.9113418405690907,0.1254671999999998,86.23269618328382,0.033708536832684856,13.716038750283133,0.017556529600351433,20.470503712844916,31.43498562276363,5.0,384.0,200.0,0.2236700105043845
traditional-spec-sampling / kv-cache,5.0,4.125922217965126,22.0,0.0002719999999999,0.11,0.7221635915338993,0.0001407999999999,0.8325763915338992,0.1104127999999998,86.73841810520467,0.03266967485095033,13.212000858845062,0.01691136109930967,20.179158683813473,32.825617796995424,5.0,340.0,176.0,0.2724068115690939
traditional-spec-sampling / kv-cache,5.0,4.354098819196224,24.0,0.0002911999999999,0.12,0.7625016365200281,0.0001535999999999,0.8829464365200279,0.1204447999999998,86.35876481084051,0.03298048306844202,13.590858407329677,0.017396298761370662,20.278511654979425,31.770901521667838,5.0,364.0,192.0,0.2527230847634497
traditional-spec-sampling / kv-cache,10.0,5.0015012212097645,26.0,0.0003135999999999,0.2600000000000001,0.892321540042758,0.0001663999999999,1.1528015400427578,0.26047999999999993,77.4046103381907,0.027203294678828108,22.553751965872344,0.014434401258149617,23.04911043816396,34.32005923241377,10.000000000000005,392.0,208.0,0.1903645535572193
traditional-spec-sampling / kv-cache,10.0,4.733234245330095,26.0,0.0003199999999999,0.2600000000000001,0.8613521475344896,0.0001663999999999,1.1218385475344896,0.2604863999999999,76.78040208437466,0.028524603714427277,23.176240517979412,0.014832793931497903,23.701310549785664,33.12892875132653,10.000000000000005,400.0,208.0,0.2062342354498643
traditional-spec-sampling / kv-cache,10.0,5.1443558018654585,24.0,0.0002879999999999,0.2400000000000001,0.8970077689737082,0.0001535999999999,1.1374493689737082,0.2404415999999999,78.86133602439426,0.025319808323403012,21.099840269509844,0.013503897772477503,22.11062789555193,37.37532370723784,10.000000000000004,360.0,192.0,0.1810431675918498
traditional-spec-sampling / kv-cache,10.0,5.239305015653372,28.0,0.0003391999999999,0.2800000000000001,0.9298824686557056,0.0001791999999999,1.2104008686557053,0.28051839999999983,76.82433917024953,0.028023773675627157,23.13283204356698,0.014805012507874603,23.102317292835856,33.2100881662752,10.000000000000004,424.0,224.0,0.2400154456945013
traditional-spec-sampling / kv-cache,10.0,4.651982828974724,26.0,0.0003135999999999,0.2600000000000001,0.8341896776109934,0.0001663999999999,1.0946696776109932,0.26047999999999993,76.20469395220015,0.028647911458030025,23.75145720373145,0.015200932610378987,23.53124931573003,32.08421836965359,10.000000000000005,392.0,208.0,0.2057590570782021
traditional-spec-sampling / kv-cache,10.0,4.859180493280292,27.0,0.0003391999999999,0.2700000000000001,0.8704780787229538,0.0001727999999999,1.1409900787229537,0.27051199999999986,76.29146781865371,0.029728566998544592,23.66365887266925,0.015144741678499551,23.481121565679985,32.23992884159088,10.000000000000002,424.0,216.0,0.2027413010445291
traditional-spec-sampling / kv-cache,10.0,4.833650894463062,27.0,0.0003295999999999,0.2700000000000001,0.8984262999147177,0.0001727999999999,1.1689286999147175,0.27050239999999987,76.85894785372837,0.02819675828165969,23.098072621512216,0.014782766477759262,24.183142834202673,33.27504814498954,10.000000000000002,412.0,216.0,0.1935332949193277
