method_name,implementation,model_pair,rtt_ms,target_verify_mode,upload_token_bytes,upload_bandwidth_mbps,uplink_bandwidth_mbps,downlink_token_bytes,downlink_fixed_bytes,downlink_bandwidth_mbps,temperature,top_k,top_p,sampling_filter,stochastic_seed,seed_strategy,method_time,target_only_time,speedup_vs_target_only,accept_rate,rounds,generated_tokens,accepted_tokens,drafted_tokens,wasted_branch_time_or_tokens,rejected_tokens,resample_count,bonus_sample_count,mean_checked_accept_prob,mean_first_accept_prob,first_token_accept_rate,target_zero_at_draft_count,target_zero_at_draft_rate,upload_wait_time,upload_latency_time,upload_transfer_time,upload_payload_bytes,uplink_transfer_time,network_wait_time,downlink_transfer_time,downlink_payload_bytes,prefill_time,draft_generate_time,draft_structure_time,cloud_verify_time,posterior_accept_time,cache_update_time,probability_normalize_time,random_sample_time,accept_reject_time,resample_time,sampling_time,target_verify_time,drafted_tokens_per_round,accepted_tokens_per_round
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,6020155,per-repeat,0.9423514101654292,0.9423514101654292,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276018548756837,0.0,0.0,0.8831442892551422,0.0,0.0028370860964059,0.0183097925037145,0.0075730830430984,0.0,0.0,0.0,0.8831442892551422,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7000144,per-repeat,1.0634306203573942,1.0634306203573942,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415524449199438,0.0,0.0,0.9854312129318714,0.0,0.004523055627942,0.0183111745864152,0.0098048765212297,0.0,0.0,0.0,0.9854312129318714,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7010151,per-repeat,0.929067261517048,0.929067261517048,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289170667529106,0.0,0.0,0.8740895818918943,0.0,0.0020328480750322,0.0148175843060016,0.0064384527504444,0.0,0.0,0.0,0.8740895818918943,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,7020158,per-repeat,1.3383375499397516,1.3383375499397516,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040398359298706,0.0,0.0,1.252935914322734,0.0,0.0037273224443197,0.0258563198149204,0.0113407503813505,0.0,0.0,0.0,1.252935914322734,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8000147,per-repeat,1.135969432070851,1.135969432070851,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277369711548089,0.0,0.0,1.0728358142077925,0.0,0.0027856510132551,0.0198911689221858,0.0092191789299249,0.0,0.0,0.0,1.0728358142077925,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8010154,per-repeat,0.9645480401813984,0.9645480401813984,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261424481868743,0.0,0.0,0.8994870577007532,0.0,0.0050143953412771,0.0215906146913766,0.0093251820653676,0.0,0.0,0.0,0.8994870577007532,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,8020161,per-repeat,0.9449938833713531,0.9449938833713531,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286054443567991,0.0,0.0,0.8822229374200106,0.0,0.0048971436917781,0.0182327441871166,0.0081448219716548,0.0,0.0,0.0,0.8822229374200106,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9000150,per-repeat,0.9957734402269124,0.9957734402269124,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285988226532936,0.0,0.0,0.929812604561448,0.0,0.0043914634734392,0.0188719369471073,0.0109572075307369,0.0,0.0,0.0,0.929812604561448,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9010157,per-repeat,1.1239293161779642,1.1239293161779642,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0409332513809204,0.0,0.0,1.0388149563223124,0.0,0.005068976432085,0.0252427291125059,0.0102225001901388,0.0,0.0,0.0,1.0388149563223124,0.0,0.0
target-only-sampling,kv-cache,qwen25-1p5b-local,0.0,batch,4,10.0,10.0,4,4,10.0,1.0,0,0.0,full_distribution,9020164,per-repeat,1.1003812849521637,1.1003812849521637,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442522559314966,0.0,0.0,1.0167083740234375,0.0,0.0052407849580049,0.0213019698858261,0.009372828528285,0.0,0.0,0.0,1.0167083740234375,0.0,0.0
